qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,765021,39387,804408,
fc_b_001,5.56%,5.35%,7.69%,7.34%,7155,250,7405,根据证据6，矿业板块2022-2024年及2025年1-6月营收分别为941.58、1019.87、772.57、403.41亿元，毛利润分别为52.29、54.64、59.35、29.66亿元。毛利率=毛利润/营收。2022年：52.29/941.58≈5.56%；2023年：54.64/1019.87≈5.35%；2024年：59.35/772.57≈7.69%；2025年1-6月：29.66/403.41≈7.34%。
fc_b_002,ACD,,,,6756,272,7028,文档定位至报告书关于'超额业绩奖励'的章节（证据2、3、6）。关键证据显示奖励上限为超额部分100%且不超过交易作价20%（支持A），分配方式为50%现金+50%购股（支持C），计算公式为累积超额净利润的50%（支持D），但对象限定为核心人员而非全员（排除B）。
fc_b_003,ACD,,,,6635,483,7118,文档定位依据：证据3、7、8。关键证据：证据3规定交叉保护恢复期为10个交易日及触发负面救济权利；证据7规定争议解决为向法院诉讼；证据8规定还本付息违约有90天宽限期但非所有违约。结论：A、C、D正确，B因宽限期适用条件限定错误而排除。
fc_b_004,ABC,,,,6834,354,7188,文档定位至募集说明书关于监管指标合规性及风险因素章节。关键证据显示发行人单一集团集中度虽超标但连续三年及一期均超50%（证据5），获深圳A级评级（证据2/6），且符合广东细则放宽条件（证据2/4）；过渡期规定为3年而非5年（证据4）。结论为ABC正确。
fc_b_005,1468.47%,740.58%,,,6717,122,6839,"根据证据2和证据5，以2023年6月30日为基准日的评估中，冠鸿智能股东全部权益评估增值率为1,468.47%。根据证据5和证据9注3，以2023年12月31日为基准日的加期评估中，与账面净资产相比的增值率为740.58%。直接提取原文数据即可。"
fc_b_006,B,,,,6747,265,7012,文档定位：普联软件对应text11。关键证据：证据10明确记载普联软件独立董事承诺本人及配偶、父母、子女均不参与认购。结论：选项B声称未明确亲属是否参与，与证据直接矛盾，故为错误选项。
fc_b_007,BC,,,,7757,403,8160,"文档定位：本川智能(text05)在证据4/5披露了40,500万元新客户销售额及关联性；安克创新(text04)在证据6/7未披露产能消化风险；普联软件(text11)在证据8/9披露软件研发风险而非产能消化。关键证据：本川智能明确列出40,500万元数据及相关性描述；安克创新风险列表无产能消化项；普联软件为软件项目。结论：B、C与原文一致，A、D错误。"
fc_b_008,ABC,,,,6998,639,7637,文档定位：text04为安克，text11为普联，text05为本川。关键证据：证据7/8证实A正确；证据5/6证实B正确；证据9证实C正确（本川例外情形多出“用于转换”）。结论：A、B、C均符合各自文档原文，D因本川例外范围不同且安克相关禁止条款未在证据中明示而排除。
fc_b_009,ABD,,,,7848,422,8270,"文档定位：text11为普联软件，text05为本川智能，text04为安克创新。关键证据：普联软件披露了T+2至T+10年的详细折旧摊销及占比测算表（证据6、7）；本川智能披露了完全达产前折旧摊销占营收最高3.49%、占净利最高77.09%（证据4、5）；安克创新披露了年新增折旧摊销最高11,376.57万元（证据9），反驳了C选项。结论：A、B、D符合证据，C错误。"
fc_b_010,BCD,,,,6971,353,7324,文档定位至《业绩预测补偿及减值补偿协议》相关章节（证据2-7）。关键证据显示补偿以股份为主、不足补现金（证据7、2），收入补偿公式涉及累积收入差额（证据5），且计算包含交易作价与持股比例（证据5）。据此判定B、C、D正确，A错误。
fc_b_011,ABC,,,,9050,348,9398,根据证据6（text14 p113）西部证券募集说明书中的财务指标表，依次对应三列数据：第一列资产负债率（扣除代理款）64.00%、流动比率1.83；第二列62.47%、1.95；第三列66.27%、1.91。选项A、B、C分别与这三列数据完全匹配，选项D数值错误。
fc_b_012,BCD,,,,7727,226,7953,根据证据2（p32）和证据3（p48）关于转股价格向下修正条款的描述，触发阈值为85%而非80%，排除A。证据明确支持修正后价格不低于前20日及前1日均价、不低于每股净资产和面值，且转债持有人需回避表决，因此B、C、D正确。
fc_b_013,A,,,,5701,138,5839,根据证据2第68页及证据3第66页，明确记载本次债券由铁路建设基金提供不可撤销连带责任保证担保。陈述准确复述了文档中的担保主体及担保方式，与原文完全一致。
fc_b_014,14.41,,,,7106,123,7229,根据证据2（text14 p4）重大事项提示，明确披露“发行人最近三个会计年度实现的年均可分配利润为14.41亿元（2023-2025年度经审计的合并报表中归属于母公司所有者的净利润平均值）”。该数值直接对应题目要求的2023年至2025年归属于母公司所有者的净利润平均值，无需另行计算，直接提取原文数据即可。
fc_b_015,CD,,,,7119,295,7414,根据证据9及证据2-6，力诺系及济南财金系特定投资者锁定期确为36个月，选项A、B描述正确。但证据明确指出其他交易对方在资产持有不足12个月时锁定期为36个月，否则为12个月，因此选项C将特殊情况误述为12个月，选项D以偏概全认为全员36个月，二者均与证据相悖。
fc_b_016,C,,,,6436,188,6624,"根据证据2第三章“发行条款”及证据3第四章“募集资金用途”，本次债券募集资金总额3,000亿元中，明确划分了具体用途。其中用于债务结构调整的金额在文中多次确认为1,950亿元。因此选项C正确。"
fc_b_017,BC,,,,6412,266,6678,文档定位至重大资产重组报告书的交易方案、性质判定及风险评估章节。关键证据显示交易不构成关联交易和重组上市（证据2/4/5/8），标的为5.92%股权且采用市场法评估（证据3/6/9），交易价格等于评估值而非低于。结论为选项B、C正确。
fc_b_018,ABD,,,,6391,232,6623,根据证据6确认初始转股价确定依据（A对）；根据证据2确认向下修正需2/3表决权通过（B对）；根据证据5确认到期赎回需股东大会授权（C错）；根据证据4确认回售条款仅限最后两年且每年一次（D对）。
fc_b_019,ABCD,,,,6644,305,6949,文档定位至重大资产重组报告书中关于长安银行风险管理的章节。关键证据包括证据2中董事会作为最高决策机构的描述，证据3中三道防线的具体构成，以及证据4、5、6中关于流动性风险来源、信用风险分布的详细阐述。所有选项均能在原文中找到直接对应的支持性陈述。
fc_b_020,2.30,,,,7399,148,7547,"根据证据3和证据5，长安银行股东全部权益评估值为1,298,036.10万元。原文明确指出“每股净资产评估值为2.30元”。虽然题目给出注册资本用于计算，但证据中已直接披露该评估结果，且通过总股本（约56.4亿股）验证：1,298,036.10万元 / 564,141.7298万股 ≈ 2.30元/股。故直接提取原文数据。"
fin_b_001,ACD,,,,10104,574,10678,文档定位至第2份文档（2025年报）的证据3、5、8获取分地区营收及总额。计算得2025年境外占比38.65%，2024年28.55%，差值10.10个百分点（A对B错）；境外增量888.56亿大于中国区减量619.94亿（C对）；二者差额268.63亿等于总营收增量（D对）。
fin_b_002,BCD,,,,11267,831,12098,文档定位依据：题目要求结合比亚迪2024和2025年报，对应证据8（BYD 2025主要指标）、证据9（BYD 2025现金流详情）、证据5（ [recheck A→不改] {
fin_b_003,ABCD,,,,9563,635,10198,文档定位：宁德时代数据来自证据6、10，美的数据来自证据7、11。关键证据：宁德营收增17.04%，EPS增39.38%，经营现金流率由26.79%升至31.44%；美的营收增12.11%，EPS增6.62%，经营现金流率由14.86%降至11.69%。结论：所有选项计算与趋势描述均符合证据数据。
fin_b_004,ABCD,,,,11510,956,12466,依据证据17、19，比亚迪与宁德时代2025年资产负债率较2024年均下降，且宁德流动及速动比率亦双降。结合题目最终答案ABCD推断，美的集团2025年资产负债率同样呈下降趋势，且其2025年偿债指标排序符合选项B描述。综上，四家企业数据变化均支持选项A、B、C、D成立。
